	Batf3	Bcl6	Bhlhe40	Creb3l1	Crem	Dot1l	Epas1	Fiz1	Fos	Fosb	Fosl2	Foxa1	Foxo1	Hey1	Hivep1	Ikzf3	Irf1	Jun	Junb	Jund	Kdm2b	Klf13	Klf2	Klf6	Lin54	Mafk	Mlxip	Nfat5	Nfkb1	Nfkb2	Nr1d1	Nr3c1	Nr4a2	Purb	Rora	Scrt1	Skil	Stat3	Stat5a	Thap3	Trafd1	Zbtb21	Zeb1	Zfp131	Zfp768	Zhx1
Bzw2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C030046E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5839	0	0	0	0	0	0	0	0	0	0	0	0	0.23398	0	0	0	0	0	0	0	0
C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99972	0	0.83012	0	0	0	0.99846	0	0	0	0	0	0	0	0	0	0	0
C4a	0	-0.028888	0	0	0	0	0	0	0	0	0	0	0	0.40865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75436	0	0	0	0	0	0	0	0	0	0	0
Cables1	0.95347	0.41569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6186	-0.27831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cap2	0	0.91536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8438	-0.19805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capn3	0	0	0	0	0	0	0	0	0	0	0	0.49861	0	0	0	0	0	0.94522	0	0	0	0	0	0	0	0	0	0	0	0	0.8127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cblb	0	0.8541	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8722	0	0	0	0	0	0.27775	0.17164	0	0	0	0	0	0	-0.28755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.81538	0	0	0	-0.90489	0	0	0	0	0	0	0	0	0	0	0
Ccng2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.55586	0	0	0	0	0	0	0	0	0	0	0
Ccser2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95592	0	0	0	0	0	0	0	0	0	0	0
Cd164	0	0	0.30656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd200r1	0	0	0	0	0	0	0	0	0	0	0	0.94654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd226	0	0.66137	0	0	0	0	-0.14313	0	0	0	0	0.56762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.086476	0.67727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd44	0	0.84737	0	0	0	0	0	0	0	0.85788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd6	0	0	0	0	0	0	0	0	0	0	0	-0.60661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.56762	0	0	0	0	0	0	0	0	0	0	0
Cd82	0	0	0	0	0	0	0	0	0	0	0	0.99427	0	0	0	0	0	0	0.82294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
