	Bcl6	Bhlhe40	Crem	Dot1l	Epas1	Foxo1	Hey1	Hivep1	Jun	Junb	Jund	Kdm2b	Klf2	Klf6	Lin54	Nfkb1	Nfkb2	Nr3c1	Nr4a2	Purb	Rora	Skil	Stat3
Klrb1b	0.98563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klrb1c	0	0	0	0	-0.84849	0	0	0	0	0	0	0	0	0	0	-0.84247	0	0	0.84883	0	-0.49684	0	0
Kpna1	0	0	0.084138	0	0	0	0	0	0	0	0	0	0	0	0.98249	0	0	0	0	0	0	0.92315	0
Lamc1	0	0	0	0	0	0	0	0	-0.56549	0	0	0	0	0	0	0	0	0	0	0	0.53334	0	0
Large	0	0	0	0	0	0	0	0	0	-0.60305	0	0	0	0	0	0	0	0	0	0	0.80531	0	0
Lats2	0.83987	0	0	0	0	0	0	0	0.76909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lin54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88679	0	0	0	0
Litaf	0	0	0.62484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8735	0	0	0	0
Lonrf3	0	0	0	0	0	0	0.69115	0.89302	0	0.94899	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrrc8d	0	0	0	0	0	0	0	0	0	0	0	0.94522	0	0	0.87817	0	0	0	0	0	0	0	0.47689
Lyn	0	0	0	0	0	0	0	0	0	0	0	0.66368	0	0	0	0	0	0	0.68898	0	0	0.61624	0
Maml1	0	0	0	0	0	0.16938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mapkapk2	-0.62602	0.26522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9027	0	0.34673	0	0
Mapkapk3	0	0	0	0	0	0	0	0.066656	0	0.4972	0	0	-0.74864	0	0	0	0.59983	0	0	0	-0.36797	0	0
Mbp	-0.71591	0	0	0	0	0	0	0	0	0.88052	0	0	0	0	0	0	0	0	-0.21602	0	-0.31242	0	0
Med13	0	0	0	0	0	0.022421	0	0.81631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mex3c	0	0	0	0	0	0	0	0	0	0.93967	0	0	0	0	0	0	0	0	0	0	0	0	0
Mgat4a	0	0	0	0	0	0	0	0	0.86396	-0.77364	0	0	0	0	0	0	0	0	0	0	0.66918	0	0
Ncoa7	0	0	0	0	0	0	0	0	0.09034	0	0	0	0	0	0	0	0	0	0	0	0.97325	0	0
Ncr1	0	0	0	0	0.90835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neurl3	0.62925	0.56217	0	0	0	0	0	0	0	0	0	0.82396	0	0	0	0	0	0	0.76379	0	0	0	0
Nfkb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043503	0	0
Nfkb2	0	0.048909	0.38718	0.80023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34006
Nfkbie	0	0.7106	0	0.12022	0	0	0	0.54765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nol10	0	0	0	0.76267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nr3c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03015	0	0	0	0	0	0	0	0
Nr4a2	0.74886	0	0	0	0	0	0	0	0	0	0	0	0	-0.030508	0.58621	0	0	0	0	0	0	0.55707	0
Osbpl9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57234	0	0
Pabpc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66634	0	0	0	0	0	0	0	0
Pcyt1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.73461	0	0	0	0
Pde4b	0.6462	0	0	0	0	0	0	0.75254	0.57186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pde4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64081	0	0	0.64582	0	0	0	0
Pfkfb3	0	0	0	0	0	0	0	0	0	0.31155	0	0	0	0	0	0	0	0	-0.65859	0	0	0	0
Pik3r5	0	0	0	0	0	0.083188	0	0	0	0	0	0	0.1421	0	0	0	0	0	0	0	0	0	0
Plxdc2	-0.86315	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79466	0	0	0	0	0	0.91758	0	0
Pmepa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72396
Ppfia1	0	0	0	0.65757	0	0	0	0	0.90076	0	0	0	0	0	0	0	0	0	0	0	0.94763	0	0
Ppp1r16b	0.90416	0.13395	0	0	0	0	0	0	0	0.31597	0	0	0	0	0	0	0	0	0	0	0	0	0
Psd	0	0	0	0.96102	0	0	0	0	0	0	0	0	0	0	0	0	0.76117	0	0	0	0	0	0
Ptpn22	0.9058	0	0	0	0	0	0	0	0	0	0	0	-0.1112	0	0	0	0	0	0	0	0	0	0
Ptpn6	0	0	0	0	0	0	0	0	0	0	0	0	0.73523	0	0	0	0	0	0.98146	0	0.40696	0	0
Ptpn7	0	0	0	0	0	0	0	0	0	0	0	0	0.27227	0	0	0	0	0	0	0	0	0	0
Rab43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34212	0	0	0	0	0	0	0	0
Rab8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95347	0	0	0	0	0	0.61745	0	0
Rabgef1	0	0.36549	0	0	0	0	0	0.67117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rapgef2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19279	0	0	0	0
Rasa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66946	0.73171	0	0
Rgs9	0.86075	0	0	0	0	0	0	0	-0.55012	0	0	0	0	0	0	0	0	0	-0.81916	0	0.97445	0	0.82859
