	ILC1_Bcl6_FC	CCR6-ILC3_Bcl6_FC	NK_Bcl6_FC
1700030C10Rik	-0.64604843988842	-0.319094522313516	-0.358616923627496
1700034H15Rik	0.0311739974750315	-0.280932585126929	-0.0607774826286667
1700034O15Rik	0.0311739974750314	-0.290187799108145	-0.0607774826286667
1700037C18Rik	-0.235789254563848	-1.14849361669746	0.356010839026083
1700037H04Rik	-0.721580889294951	-0.351004395148723	0.371625475641672
1700045H11Rik	0.0311739974750315	-0.00830513024897726	-0.0607774826286668
1700049G17Rik	0.581980184529932	-1.11100056816869	0.861591016684841
1700052K11Rik	-0.11553795371261	-0.151332973960684	-1.3402621460778
1700052N19Rik	-0.249183696083649	-0.267918046901923	-0.547479065168101
1700056E22Rik	-0.946213888736441	-0.84811228635596	-2.41329240488709
1700063D05Rik	0.311770892381724	-0.00830513024897728	-0.0607774826286666
1700065D16Rik	0.341895743237792	0.0199557931022721	-0.00241898447251284
1700066M21Rik	-0.353407512024156	-0.0632714147568978	-0.937123622659764
1700067K01Rik	0.00166889069396007	-0.000248056963116381	-0.987176306705927
1700084J12Rik	-0.890619571020682	-0.000954876856702975	-0.0129544229476595
1700086O06Rik	-0.20161249457148	0.259520875233068	0.319717273475365
1700094D03Rik	0.0737539095017155	-0.00081813203637344	-0.873566856146566
1700096K18Rik	-0.151942326872014	0.673766858026852	0.0336475769421049
1700101E01Rik	-0.391327461132589	-0.195376941612771	0.38199703972613
1700102P08Rik	0.00821579841815969	-0.58967861850252	-0.0197277649476349
1700109H08Rik	-0.219745304778903	0.578487884541288	-0.607383864523675
1700112E06Rik	0.266815200641301	-0.267908441952642	0.640709360426968
1700113A16Rik	0.168566978310914	0.202978730943852	-0.146002555590991
1700113H08Rik	0.0501675772235285	-0.716964700405936	-0.329147154918307
1700120C14Rik	0.00249108900862722	-0.000378744374574395	-0.0060441986706226
1700120K04Rik	0.0032594550170758	0.388786111199488	0.0618649739720269
